V1,HC-01,HC-02,HC-03,HC-04,HC-05,HC-06,HC-07,HC-08,HC-09,HC-10,HC-11,HC-12,HC-13,HC-14,HC-15,HC-16,HC-17,HC-18,HC-19,HC-20,HC-21,HC-22,HC-23,HC-24,HC-25,HC-26,HC-27,HC-28,HC-29,HC-30,HC-31,HC-32,HC-33,HC-34,HC-35,HC-36,HC-37,HC-38,HC-39,HC-40,HC-41,HC-42,HC-43,HC-44,HC-45,HC-46,HC-47,HC-48,HC-49,HC-50,HC-51,HC-52,HC-53,HC-54,HC-55,Panc-260,Panc-286,Panc-314,Panc-327,Panc-328,Panc-331,Panc-335,Panc-367,Panc-369,Panc-370,Panc-371,Panc-380,Panc-382,Panc-387,Panc-388,Panc-389,Panc-390,Panc-391,Panc-431,Panc-434,Panc-435,Panc-448,Panc-449,Panc-451,Panc-461,Panc-477,Panc-488,Panc-493,Panc-498,Panc-501,Panc-503,Panc-512,Panc-553,Panc-593,Panc-597
ENSG00000145388,2.99197912159677,-0.869928691616674,2.35698541718149,4.03492629877009,1.8738348127845,1.72353000346511,2.6529791441624,1.96418830694227,1.70427216888102,0.802653223401215,3.79794263909812,5.14129727835465,4.23420512358374,4.94826102303102,2.03437737851905,2.7534647838125,2.86345921746062,4.19232553246679,1.70719532246634,5.24213949462972,4.96299070209732,-0.869928691616677,-0.869928691616674,1.4660630555341,-0.869928691616674,2.92016779492842,4.79791948760009,2.73817553618201,0.531163533184454,3.24899065486015,4.18320707505049,3.19555449452921,2.78268796886295,3.07749118140106,3.50620675543367,3.97347803357906,2.8974251037446,4.32098128829303,2.59831773519995,3.45747782737313,3.10238534432955,4.26757329001962,4.3435269660666,1.23423247943666,-0.869928691616677,4.47275320608779,4.73499265956085,4.32782286019233,4.34305817346245,4.44252647094189,4.41850887005136,4.9885848333735,4.11390195687077,4.11816747500757,3.99687363616371,-0.869928691616674,3.30490125895841,-0.869928691616674,3.98367880234036,1.01737679133152,-0.869928691616674,2.22143190411427,3.84316414499857,4.85072982740327,-0.869928691616674,-0.869928691616674,-0.0634639873518627,-0.869928691616674,-0.869928691616674,0.745275890024714,-0.869928691616674,3.12503025344468,-0.869928691616674,-0.869928691616674,-0.869928691616674,2.67273583136522,-0.869928691616674,2.9311131136519,0.29921471899753,1.08411092541896,3.54143023937554,4.25522979390474,2.9235804232439,4.36207245245764,0.898087684754281,3.02257525046702,1.87949418939638,-0.869928691616674,2.86646344691627,2.30817777906751
ENSG00000067704,4.40497538274332,4.5758410737104,0.548275476307445,2.2378340776853,4.54915376583595,3.30962155905431,4.23409357287011,-0.869928691616674,5.18343060748678,1.74005643312558,4.51856013000074,4.66665820042571,5.2307379867319,5.620422647395,-0.869928691616674,3.23248415360516,3.13310783026219,3.86912713309193,2.48414776745412,6.12041119590933,4.56477868373389,-0.869928691616677,-0.869928691616674,-0.869928691616674,-0.869928691616674,-0.206955912636176,1.95338451861134,2.57329253639738,-0.869928691616674,5.06981147596904,5.03778794800581,2.27924657143147,4.96172861587913,1.08816163072086,4.58378096522055,3.62519503806066,2.22941620278318,4.32098128829303,1.72311610352868,2.52760674912156,3.65637932179303,3.06080716282055,3.30809432526417,2.05587214596241,3.31410358040382,5.11184354043266,4.95744532713281,5.19600867663659,4.34305817346245,3.91836668560566,3.45495894028603,5.247469130321,4.62352081816194,2.73617110958948,3.5558656954217,-0.869928691616674,4.86571894606659,-0.869928691616674,-0.869928691616674,3.40479271605442,-0.869928691616674,3.3983658790907,-0.869928691616677,-0.869928691616674,-0.869928691616674,-0.869928691616674,-0.869928691616674,1.49796190764366,2.28670807050923,-0.869928691616674,-0.869928691616674,4.43771204674736,-0.869928691616674,-0.869928691616674,-0.869928691616674,-0.869928691616674,4.2601705971221,4.07768758362677,-0.869928691616674,-0.869928691616674,1.73170882760664,0.495622737868321,-0.869928691616674,-0.869928691616674,3.41138949495241,3.3249426204324,4.61063263421349,-0.104397088838826,4.47786687304378,-0.869928691616674
ENSG00000164307,3.8385247777491,2.72810402394463,3.83537994980576,3.15163054772249,0.665818027422753,2.94689024020488,3.45786148419126,-0.869928691616674,4.16193512379905,2.30353487705425,4.06226100236877,5.94308666122773,4.57562698828169,6.2978809033178,4.28367694515041,3.78917492768358,4.69894967662707,1.58174196012305,4.57561519961743,6.96375922080231,5.86200931922581,2.16026105892616,2.14912898465954,-0.869928691616674,2.9724123137533,4.17812444738454,4.42618057406587,3.67777278168402,3.0320120269973,4.31228804006409,4.70028900851307,4.26387149166676,1.89307217863916,4.68979473257021,-0.869928691616674,4.25381864693969,3.1426927505825,4.79507913176253,4.88105104101156,2.52760674912156,3.10238534432955,1.87423105364536,5.22715969561059,3.61849636342777,3.01188272162249,2.95719849754711,4.54228733286697,4.66729805326888,3.38143944524038,4.75717523650718,4.65382661866359,3.00635633647283,4.68358639397476,3.49183555842974,2.62147494553554,-0.869928691616674,4.09678097600431,-0.869928691616674,4.48788774594721,4.42770281879682,-0.869928691616674,4.36043822145514,5.09417453615732,-0.164259395701858,0.873277591250243,0.0462271928706273,3.37603023650138,4.12092422565502,1.44004550916458,3.87392983068384,-0.869928691616674,2.7398431524998,2.0508035234013,-0.869928691616674,-0.869928691616674,4.24840592879667,3.3852428888985,3.3715576234456,0.936421250152221,4.02468497195618,2.81145544512452,1.83463741123331,1.53300101073457,1.06139980440492,2.02063654631718,3.02257525046702,4.43896529723978,3.84155887199182,4.26939919412806,-0.869928691616674
ENSG00000110077,9.38449892934088,7.74358029980706,5.50430731288506,6.68820888375068,7.70325236742402,8.43486533460129,9.01213761160849,1.96418830694227,7.9936922403505,2.04913252361109,5.3987001948286,7.42604414968968,0.939336443233989,5.98902125363531,3.62972080631322,2.03134017525367,2.7070297459506,4.57200875254354,4.89090691869145,7.52561261778401,8.21194732753815,4.14643947074648,4.79525527007579,4.05393830701833,4.62301622775488,6.42241388645237,2.77944923283113,4.15716784062816,-0.869928691616674,5.89787083164703,6.98662566718875,4.87090585458402,3.60404737230444,4.39727568314802,4.58378096522055,4.12044703303499,3.35225932252108,3.82323651276064,4.09364927904963,6.20188373958077,5.14536698839877,4.67232780500574,6.5801560351646,2.33932072560233,1.27912738365254,4.53825048505808,7.34020708125696,7.56516092012036,5.16234271387806,6.5435273762639,6.23597460929872,4.80754694849009,5.72641737758528,6.05076865396406,5.09537017108395,0.111076710199902,7.4628369901909,5.46129707650514,4.70054538131249,5.51554984984573,4.42155597321835,5.01355864630169,6.57560355036139,5.75635959927408,3.81105541688638,-0.869928691616674,5.19411350624973,3.96135403601059,6.53866710558299,4.56645915121496,5.36349058556482,6.59436576946299,4.79277253240383,2.9429387317164,4.39985529355768,3.60946781144704,5.9527120550784,4.70837591347115,4.52957689778688,5.00022843909626,2.37032247830425,5.86670477381824,2.59043491190196,5.30109952692787,1.85551978438098,3.45526688058066,4.49013232034719,6.00289249862569,7.13653294996268,3.33516906251463
ENSG00000088451,3.66882663043516,-0.869928691616674,3.27780647095949,3.39978329569996,3.45155541932684,0.135175026840785,3.23601889186227,-0.869928691616674,-0.869928691616674,3.33974048648312,3.159812025225,5.1692432856337,0.00575630886205546,4.81429424122617,-0.869928691616674,4.80670391119374,3.00457424906649,3.67557400950881,2.58094973434517,5.19486461365611,4.49605615665304,1.58443992961141,5.30127398629094,5.27666324001841,5.34711031902167,2.79305573667254,2.91284740360304,-0.869928691616677,5.17052702816779,3.94362987810619,3.06660192853563,-0.869928691616674,4.20898201815178,1.88942882030803,4.34874572578065,3.16513374238261,3.69754894756004,4.00889359830354,0.944356679850896,2.00952167060683,0.916380514955509,3.30798760106537,5.10172446539213,2.05587214596241,4.5300797292662,4.47275320608779,3.90458960957744,5.04897841767299,3.72707711437092,4.52785214302843,4.21282161718887,4.9885848333735,3.71398242129838,4.11816747500757,5.26272723416746,4.97512843504376,-0.869928691616674,-0.869928691616674,-0.869928691616674,4.42770281879682,4.62602281909891,2.39276142701829,-0.869928691616677,-0.869928691616674,-0.869928691616674,4.24731148457032,-0.869928691616674,3.52080232995652,-0.869928691616674,-0.869928691616674,-0.869928691616674,1.71055374201745,-0.869928691616674,-0.869928691616674,-0.869928691616674,3.35931092236703,0.42146942374187,2.12412316176049,4.7653170587368,2.93077516327575,2.81145544512452,2.14716758410205,1.0783633289948,-0.869928691616674,-0.869928691616677,2.40164286752894,2.6826207131009,-0.869928691616674,3.36328148840648,-0.869928691616674
ENSG00000141076,4.08335365775322,3.41660860953115,5.69477680744993,3.00946395632833,-0.869928691616674,3.30962155905431,3.92261453402783,3.86049893184261,5.89862539751556,2.04913252361109,4.51856013000074,5.75918534629234,4.30259570058017,5.76710569962923,4.91286777778807,-0.869928691616674,1.82312423956745,4.5904366954101,5.22633153401135,5.17411990614357,5.68808616089544,-0.869928691616677,5.17386659584334,-0.869928691616674,5.03002250521801,5.20690767288994,4.35762601184222,4.60448179614516,-0.00558820366565441,4.76270319010031,4.8050336586384,4.94000993937928,4.86051035366329,4.50151256339924,3.25700079784338,3.62519503806066,2.8974251037446,3.61010907220131,3.13916071336193,3.45747782737313,1.69045043148103,3.30798760106537,4.91546964755615,2.95767776641736,1.27912738365254,4.25627402391904,5.25868296326418,5.0996717923103,0.969188197917757,4.35183537049068,4.59849689462094,5.19927591811569,3.92775541428638,3.98520258001712,3.86430614362084,-0.869928691616674,4.3521053769495,1.16501740897757,4.11663889352842,-0.869928691616677,-0.869928691616674,3.31557464723536,2.7113195920384,4.66689755478305,2.80124215829853,-0.869928691616674,4.67493221947405,4.15820390611951,3.90573368819151,2.63058682721577,4.45002649185955,4.07906365552398,-0.0789432404741215,3.49327000274615,-0.869928691616674,2.14838296456202,3.49066694779071,-0.869928691616677,3.89690012813305,0.415348977507716,3.42204977249679,4.46702228820417,3.70740287331771,4.85962834204773,1.20313903832828,3.02257525046702,3.98341050485981,1.29999037193687,1.82587062469152,4.06180195335851
ENSG00000102781,3.47647316968123,3.66726907221969,-0.869928691616674,4.10651698176488,4.54915376583595,4.78391385840804,3.38763712700562,0.735891512129852,0.706430928538602,5.09029771941549,4.23884701907382,0.553443847949879,3.05540090995901,2.73430931957776,0.790996291161785,5.36684258202294,2.7070297459506,-0.229482184781994,4.17157093586685,2.97597268052523,2.19657359759414,-0.869928691616677,-0.869928691616674,-0.869928691616674,2.50031372267885,-0.869928691616674,4.01593562954732,-0.140073239508827,5.17052702816779,2.15933830604339,3.6198095617013,0.987585633069478,-0.869928691616674,-0.869928691616674,2.05390314391059,3.16513374238261,-0.869928691616674,2.6733495838035,5.07034359680989,1.19334939973631,3.10238534432955,3.30798760106537,4.30610334750641,5.19593524072475,3.5638486656451,4.09150329934842,2.31812649452131,2.40131963452133,2.25666898386667,4.15132002810201,3.18136137754479,3.70348008395893,3.59390993824836,1.85003333033935,2.62147494553554,5.77870541832015,4.6748119627267,3.69805540472991,4.48788774594721,4.77766620804285,3.27551138176736,4.47930938103434,1.55972966190356,4.77998233551582,-0.869928691616674,4.66117511981781,5.4589359889256,3.20175353355159,4.51919071698101,4.53166791241508,2.55450088424057,2.7398431524998,1.34769899394598,-0.869928691616674,4.27216778345112,5.18958328921831,-0.0843147737080953,5.07757766171376,5.32835563907681,4.59338926900909,4.61993046548558,3.75365841619456,4.53803650398043,-0.869928691616674,6.07137223030391,4.2850070877769,4.49013232034719,3.76233219729075,5.03457008428088,4.34847766938357
ENSG00000143337,4.1277013616121,4.2313695255221,0.548275476307445,3.70667462440379,3.81331859524717,2.59876902735447,2.76801287673757,2.74363605772219,4.28743323239392,1.74005643312558,4.41729226806056,6.10134708864072,3.83308187798106,5.53125973423361,4.52519063028849,4.55836133279737,3.95453476029713,2.52236070036227,3.46351757743874,6.32245081984663,6.23668352521255,-0.869928691616677,-0.869928691616674,-0.869928691616674,-0.869928691616674,2.41549244498058,3.79178897266896,3.86778206351025,2.0492317374575,3.62140135383954,3.92883738405638,3.40558449530093,2.25397303714863,3.53594883433756,4.06782315031699,3.41342583918818,4.09729437155901,4.17335999662305,3.53162195170322,4.01828545743867,-0.869928691616674,1.87423105364536,4.86489021502174,3.38912706599396,1.27912738365254,4.17623969979694,5.12741049133449,5.56413700900419,1.75202211328047,5.42425881414196,3.45495894028603,3.00635633647283,4.11390195687077,3.67568259006203,3.86430614362084,-0.869928691616674,3.87784186296049,-0.869928691616674,-0.869928691616674,-0.869928691616677,3.50014564137112,0.785160830392207,-0.869928691616677,-0.869928691616674,2.50735257471801,-0.869928691616674,0.450752944496839,4.33139084983268,4.64941644761002,3.17242041728481,-0.869928691616674,4.68705000296823,3.86119792909836,-0.869928691616674,3.97689434719555,2.87733301019913,2.94039747230711,0.126675370964938,1.37688801340374,1.88477890191827,2.08606642923758,3.32732556007311,2.15650569433778,5.03925188163828,2.74210719264568,1.76098598308913,2.39110878515466,2.56302378812016,3.88633943280718,3.85774212270529
ENSG00000058729,3.72763865611179,3.54737586984599,-0.869928691616674,3.95959673886704,0.665818027422753,2.72437687744281,2.39109716131798,1.15351514864344,6.374620361291,2.95046226386023,4.11495758018069,4.24453635573167,1.90494345479985,4.83573169233887,-0.869928691616674,3.96301370588285,1.0305622099304,2.07600450775847,1.52454367722975,5.35703435410613,5.01303656927628,3.6787336035096,4.50885623954783,-0.869928691616674,3.61226464594887,-0.869928691616674,2.97518915467017,2.38710424711733,3.44271229169909,3.48374759193597,3.22601944426177,3.19555449452921,4.75165125969659,1.88942882030803,2.95556998046151,4.48844676416586,3.1426927505825,3.61010907220131,-0.869928691616674,4.16540866412538,-0.869928691616674,3.06080716282055,4.01282196030047,3.25913872185262,4.27386264077301,4.33210079290716,4.23731933509797,3.93980938765876,3.56458450732167,5.46809574104841,1.76071420213473,3.83546437007682,3.92775541428638,3.49183555842974,4.23025471058551,-0.869928691616674,4.09678097600431,-0.869928691616674,4.64291611757423,2.81685418482646,4.39942048538487,1.20872929781665,4.42990244039865,3.35235274675709,-0.869928691616674,-0.869928691616674,-0.869928691616674,3.05134757082732,3.20346042448494,-0.869928691616674,-0.869928691616674,0.297011144762542,3.82097453028002,-0.869928691616674,0.917033255507055,3.05648611275768,-0.869928691616674,1.70936946434751,1.37688801340374,3.62572449718652,2.81145544512452,2.14716758410205,-0.869928691616674,-0.869928691616674,-0.0203687796262794,2.84374150509568,3.19549905042996,-0.869928691616674,3.0076012134438,-0.869928691616674
ENSG00000125450,2.89267654861474,4.2313695255221,4.98471272181298,1.95715010701503,2.52196589240938,0.721834762682866,2.39109716131798,0.145742787725457,5.26707762209275,-0.0797555514436244,5.18118935938708,4.75536761708625,1.90494345479985,5.76151597979935,4.09681038656358,1.67927810060693,3.95453476029713,3.98509306153829,4.85264155233425,5.44047131076539,5.81576247792762,-0.869928691616677,-0.869928691616674,5.05422925891486,4.74587500041841,-0.869928691616674,-0.869928691616674,-0.869928691616677,5.1341020270841,4.7477457541412,2.68263537355081,4.55570656510915,5.70808061301929,2.77875451110641,2.05390314391059,4.86717133514477,4.40996880796249,3.61010907220131,-0.869928691616674,5.14324257793358,3.31158685622339,4.8388087928863,5.0797158171746,2.05587214596241,5.10360795411775,5.64526024826406,5.25868296326418,5.39178290640908,4.0057041618127,5.12893472235093,3.88309254458714,4.06793988940718,4.68358639397476,4.88739516368066,4.1182782189003,-0.869928691616674,4.01852025737843,0.746138550029199,0.646497353036246,3.90904079933304,4.42155597321835,-0.869928691616674,3.90227104485998,4.15443775096335,4.16107290515148,-0.869928691616674,-0.869928691616674,-0.869928691616674,5.16700217132726,-0.869928691616674,-0.869928691616674,3.23353031449768,-0.869928691616674,4.53389756653028,-0.869928691616674,2.14838296456202,-0.869928691616674,-0.869928691616677,2.88365592382707,4.15777257958067,3.84973441172417,-0.869928691616674,2.59043491190196,-0.869928691616674,-0.0203687796262794,3.18166594109524,4.18319153145115,4.57962522326509,2.53449372024388,2.07667486739292
ENSG00000140983,3.78414679879638,-0.869928691616674,-0.869928691616674,5.37191884704866,1.39273573708639,4.18434715716699,5.25301630163368,3.15931706312616,3.11795880117736,2.51972977149959,3.89153366144681,2.70704866858832,2.97386078379,4.31627848309507,5.87082903846435,3.78917492768358,3.64528018918182,4.37349518164724,3.24458407284145,5.0880229338455,2.83849104742407,5.40008523581989,3.67445374730188,5.45118937850377,5.60690882537324,5.30335281003897,5.47397210360283,6.18203697697698,4.99884467565521,5.47593885309206,4.01870361571481,2.94965141846425,4.1241844938161,1.08816163072086,-0.869928691616674,3.62519503806066,0.947052567370378,3.05711331788005,3.53162195170322,4.01828545743867,0.916380514955509,1.87423105364536,3.23031286350227,3.50836525489463,-0.869928691616677,1.86434199867494,3.67313363721246,3.56003408211681,3.56458450732167,1.67660203814637,0.579503984453015,2.10139772861901,3.92775541428638,2.3600947492227,4.52190716239893,6.12554749105217,-0.869928691616674,0.153462508795344,1.62884214177567,-0.247103948833711,-0.869928691616674,-0.869928691616674,-0.869928691616677,-0.869928691616674,3.51937383682123,0.0462271928706273,-0.869928691616674,3.12850970811672,-0.869928691616674,2.97937782186792,-0.869928691616674,3.67951165702726,-0.869928691616674,0.797100205049916,-0.869928691616674,-0.869928691616674,4.23003900066288,4.54969467720933,3.43251617009088,1.88477890191827,3.29189230280707,1.18439744567498,-0.869928691616674,4.36207245245764,0.898087684754281,2.84374150509568,3.19549905042996,-0.869928691616674,4.02563635931516,-0.869928691616674
ENSG00000130348,4.47530634708662,4.2313695255221,5.25053896187966,5.37191884704866,3.14755471455309,3.3876537710968,4.97028831943237,-0.869928691616674,4.97535247348728,-0.869928691616677,3.86100632201203,5.21464965212494,-0.869928691616674,5.08880472609861,-0.869928691616674,-0.869928691616674,3.36020618829929,4.23979507605828,2.83758527449455,4.85591185967322,4.60883989170166,-0.869928691616677,3.95841448736106,-0.869928691616674,-0.869928691616674,5.40466440150335,2.84768959476922,4.76602867776928,4.34350876925777,4.02031330970154,-0.869928691616674,1.77338614643543,2.54241641643473,3.07749118140106,2.05390314391059,1.96951647956981,0.947052567370378,2.14897147167012,0.944356679850896,1.19334939973631,3.31158685622339,4.48409869803998,4.3800043079005,2.95767776641736,2.10657241230903,3.80258957339256,4.95744532713281,3.76238233449394,3.56458450732167,4.75717523650718,3.88309254458714,2.46969702856212,3.92775541428638,3.67568259006203,4.1182782189003,0.111076710199902,4.55054383551338,3.17362325327026,-0.869928691616674,-0.869928691616677,3.12176222469739,2.02697900135338,4.72005425956249,0.307544073432652,2.50735257471801,-0.869928691616674,2.65173605158929,-0.869928691616674,3.68053319118712,-0.869928691616674,-0.869928691616674,3.23353031449768,-0.869928691616674,-0.869928691616674,-0.869928691616674,3.05648611275768,2.29390536965747,3.44554027255902,2.58822373965552,3.2013350344735,2.81145544512452,3.7067654844228,2.59043491190196,-0.869928691616674,-0.869928691616677,2.40164286752894,2.27919425223849,3.33951745225245,3.73214137079769,2.30817777906751
ENSG00000273143,-0.869928691616674,4.51321452024876,0.548275476307445,0.465834379021158,1.39273573708639,3.72480012808381,3.52482569030938,-0.869928691616674,2.44037335390577,0.802653223401215,0.224845779369607,2.22928731772029,1.24760557333411,2.90627103537313,2.03437737851905,4.1181401941444,1.0305622099304,-0.869928691616674,2.75700808156392,-0.869928691616674,-0.129499667642247,4.18584271231593,2.73499274452102,4.50475584385306,3.92122452162769,0.589516341440121,2.97518915467017,3.3611018761149,2.67438287313333,0.146867936078556,1.80063077337053,3.40558449530093,2.54241641643473,3.53594883433756,5.04409302830602,-0.869928691616674,0.947052567370378,4.17335999662305,3.13916071336193,-0.869928691616674,2.56266378483011,1.87423105364536,1.87432715886465,1.23423247943666,-0.869928691616677,-0.869928691616677,2.14791995404082,-0.869928691616674,2.25666898386667,1.67660203814637,3.57447840499662,1.60560061831338,0.673670955539814,-0.869928691616674,-0.869928691616674,1.68323577168008,2.90178630592054,6.14189937095685,6.62647466785533,-0.869928691616677,1.50142719476504,2.39276142701829,2.77595773356235,2.42764651746885,2.80124215829853,3.96293561381692,2.55445146453711,3.63097941212994,-0.869928691616674,4.3032130024965,2.1835737924505,3.00770183287705,-0.869928691616674,-0.869928691616674,-0.869928691616674,1.79151113330369,3.9261265667561,4.48098965845888,1.37688801340374,3.07238835183149,2.60768434258935,1.83463741123331,2.15650569433778,2.1363974001134,4.94602145890957,4.99143232056723,4.01868813041787,2.4663478177011,3.95766844017645,4.29551952120883
ENSG00000136250,6.95854688049948,7.13295272334922,5.41429321075434,5.01064422597484,4.18706826216112,6.09437517848748,6.66251146964798,2.15738568301309,6.01207452246752,0.42788720082263,5.91933630348572,7.49759324289101,5.2307379867319,6.3694469501418,6.03600654647407,5.79253164674159,5.03137617590185,5.70658057319388,5.47329196075565,8.21449043188955,8.66291784260629,3.83561245786084,-0.869928691616674,3.46868479571181,-0.869928691616674,6.66860457227043,2.84768959476922,3.14307585911967,-0.869928691616674,4.91774721661575,6.7447244251292,5.49356929959307,6.62536742493559,5.204017564566,5.86366208469455,6.08599954430904,5.437980351351,4.45488977607743,5.68655577407668,6.82813457148524,5.79429597179051,5.12329121346444,7.10631671684282,6.16711676830969,4.64292629973652,5.73179498260514,7.28993141700936,8.07938545679427,6.54912157201547,6.68026137095127,6.93935596710506,6.59462483515284,6.18697415007408,5.58330239088919,7.01680069155696,4.92539843644884,6.14392370607819,5.74585528223473,-0.869928691616674,-0.869928691616677,-0.869928691616674,4.58912733691104,5.53800124217921,5.5271716566412,4.84846690063463,-0.869928691616674,6.31535961930386,6.51067928977247,5.98560662445825,5.53221004881587,4.6922400629168,7.81645010482645,-0.869928691616674,5.22691460972337,2.45005612726993,3.91840240865585,5.88664371465497,3.93086974890355,5.05942455684621,3.31969624125662,3.54143023937554,1.43512833909626,3.06514147935061,4.97006239374207,2.30312062918009,4.6541436853968,4.33084262720416,1.69077992239942,6.65794499206397,5.16149891096579
ENSG00000081320,6.5739468171152,5.24915329020245,5.21543336524265,5.9602077490693,4.61181733640585,5.82666269955676,6.04007169227586,4.01816301072852,4.32695185296728,0.802653223401215,4.61318349504542,3.74770171636802,2.21989345692851,4.20536702351478,2.03437737851905,1.21257493887218,2.53155260542434,4.23979507605828,3.82146282987029,4.60004831978068,4.10806565070213,3.22857808567316,-0.869928691616674,-0.869928691616674,-0.869928691616674,0.245559876474032,3.14751667536321,2.65808827780969,2.33250039628121,2.61989826779669,5.16131484274901,4.87090585458402,5.45386624237961,3.53594883433756,2.57406044666585,3.62519503806066,4.66680096813862,4.00889359830354,3.97231563981274,4.91271381577257,2.85761790799691,4.75796836914755,4.86489021502174,3.116268000535,4.40765162190299,4.47275320608779,4.50751015855898,4.32782286019233,5.16234271387806,4.15132002810201,3.97285417301241,4.9885848333735,4.42668264248052,3.49183555842974,3.71831313243304,1.10148479897935,3.26025567987307,2.17076033859388,-0.869928691616674,0.519451889906812,2.88739500369937,2.68430854670985,1.03399129571276,3.77244027817493,-0.869928691616674,0.0462271928706273,4.24699419239921,4.04334417730082,4.56391818935305,1.75273838484915,3.64777230552875,6.61457148991019,2.79501998177855,-0.869928691616674,2.85846769533027,1.31628477755475,3.54062407591074,2.9311131136519,2.21629260161986,2.39666859393389,1.73170882760664,3.65829700417721,2.15650569433778,1.06139980440492,1.20313903832828,2.84374150509568,1.32472590029441,3.95279409166357,5.09908759241522,3.85774212270529
